"","GIS_STATION","Lat","Long"
"74","G-01",57.0031412529183,-167.701882435798
"75","G-02",56.9972678114843,-167.093258201517
"76","G-03",57.0065801099405,-166.462507333944
"77","G-04",56.9988120130152,-165.851681006508
"78","G-05",56.9990202008457,-165.212070163848
"79","G-06",56.9932880366775,-164.607992988134
"80","G-07",57.0147981395349,-163.993271976744
"81","G-08",57.0039678212291,-163.395090782123
"82","G-09",56.9924834653465,-162.784454257426
"83","G-10",56.9988637142857,-162.170010285714
"84","G-11",57.0017725806452,-161.564160322581
"85","G-12",57.001007027027,-160.951084054054
"86","G-13",56.99518,-160.335945
"87","G-14",56.9969705714286,-159.701606285714
"88","G-15",57.0054238888889,-159.122054166667
"89","G-18",56.9975366444792,-168.338651139389
"90","G-19",56.9988856304139,-168.954751280077
"91","G-20",57.0080367654987,-169.552607486523
"92","G-21",57.0034385771543,-170.165541262525
"93","G-22",56.9950900682853,-170.783476138088
"94","G-23",57.0011735230677,-171.393107171959
"95","G-24",57.0007721347403,-172.036075470779
"96","G-25",56.9981199554235,-172.655331352155
"97","G-26",57.0082073684211,-173.233515657895
"98","H-01",57.3294473711175,-167.736135991034
"99","H-02",57.3330942572396,-167.121455622414
"100","H-03",57.3458385205862,-166.486763597348
"101","H-04",57.3351845225603,-165.86462838405
"102","H-05",57.3267130482257,-165.240233089172
"103","H-06",57.3306509594096,-164.614671623616
"104","H-07",57.3325212408759,-163.998675510949
"105","H-08",57.340042739726,-163.388411917808
"106","H-09",57.3310429268293,-162.770804634146
"107","H-10",57.3338268571429,-162.150878
"108","H-11",57.3333918604651,-161.539587906977
"109","H-12",57.3362594285714,-160.932940285714
"110","H-13",57.3307377142857,-160.30096
"111","H-14",57.3314377142857,-159.670517428571
"112","H-15",57.3362857142857,-159.067565428571
"113","H-16",57.3380954285714,-158.406348285714
"114","H-18",57.3323142259641,-168.372453476372
"115","H-19",57.3324890472028,-168.995524755245
"116","H-20",57.3351133963924,-169.602700739111
"117","H-21",57.3238003954802,-170.212311242938
"118","H-22",57.3473203931624,-170.855256692308
"119","H-23",57.332864720696,-171.459977655678
"120","H-24",57.3361418777174,-172.099224581522
"121","H-25",57.345016633565,-172.782889056604
"122","H-26",57.3462801984127,-173.325576309524
"123","I-01",57.6674174528302,-167.770765429245
"124","I-02",57.6722727012564,-167.128943371336
"125","I-03",57.6692221733188,-166.506019641881
"126","I-04",57.6661390425532,-165.882722443262
"127","I-05",57.6564286817326,-165.248834362837
"128","I-06",57.6642147058824,-164.618867782805
"129","I-07",57.6689257407407,-163.997355925926
"130","I-08",57.666816,-163.371977714286
"131","I-09",57.6652468571429,-162.753536571429
"132","I-10",57.664486,-162.134549714286
"133","I-11",57.6686985714286,-161.499500571429
"134","I-12",57.6723548648649,-160.883936486486
"135","I-13",57.6647311764706,-160.270452058824
"136","I-14",57.6631074285714,-159.636454
"137","I-15",57.6672482857143,-159.022309428571
"138","I-16",57.6651308571429,-158.360318285714
"139","I-18",57.6664739442112,-168.403237042591
"140","I-19",57.6636198446267,-169.037351214933
"141","I-20",57.6693435969327,-169.654189379343
"142","I-21",57.6662362242563,-170.272982464858
"143","I-22",57.6684987642276,-170.894977731707
"144","I-23",57.6645692607973,-171.530303826135
"145","I-24",57.6693042118863,-172.172792834625
"146","I-25",57.6661779353979,-172.795596366966
"147","I-26",57.6742295825932,-173.39357026643
"148","J-01",57.9984823533319,-167.804927761789
"149","J-02",58.0044326636266,-167.172012540236
"150","J-03",57.9972699907834,-166.514288086022
"151","J-04",58.0001122192152,-165.901581596752
"152","J-05",57.9937885714286,-165.24998042471
"153","J-06",57.9998084090909,-164.618070681818
"154","J-07",58.0016233333333,-164.017034444444
"155","J-08",57.9983371428571,-163.372842285714
"156","J-09",58.001848,-162.754684571429
"157","J-10",57.9956097142857,-162.118997142857
"158","J-11",57.9951317142857,-161.484920571429
"159","J-12",58.0026120588235,-160.853022352941
"160","J-13",57.9951388571429,-160.218210285714
"161","J-14",58.0015885714286,-159.607546571429
"162","J-15",57.9950164705882,-158.969355882353
"163","J-16",58.0005120588235,-158.322167058824
"164","J-18",57.9985651747975,-168.435602245704
"165","J-19",57.9947629236379,-169.07049492278
"166","J-20",57.999705761194,-169.699866052239
"167","J-21",58.0008846949293,-170.337666872818
"168","J-22",58.0000306038292,-170.967430541237
"169","J-23",58.0002221653342,-171.596104580711
"170","J-24",58.0021436170823,-172.238098598452
